,ItemID,item,포털_기능,원료,섭취방법,주의사항,insta,youtube,맛,맛 상세,재구매의사,목넘김,기능,cluster1,cluster2,cluster3,cluster4,cluster5
0,0,3초습관플러스타민종합영양제,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
1,1,GNC데일리이뮨멀티비타민,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,좋음,피로회복,0,0,0,1,0
2,2,GNC메가맨50플러스1+1,,,,,0,0,맛_모름,단맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
3,3,GNC메가맨스포츠멀티비타민&미네랄,,,,,0,0,맛_모름,맛상세_없음,있음,목넘김_모름,피로회복,0,0,1,0,0
4,4,GNC메가맨원데일리멀티비타민앤미네랄38.,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
5,5,GNC메가틴멀티비타민앤미네랄,,,,,1,0,맛_모름,단맛 신맛,있음,목넘김_모름,"피로회복
장건강",1,0,1,1,0
6,6,GNC밀크씨슬,,,,,1,0,맛_모름,단맛 신맛,재구매의사_모름,불편,피로회복,0,0,0,1,0
7,7,GNC오늘부터+멀티비타민포맨,,,,,0,0,맛_모름,신맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
8,8,GNC올리닉비타액션,,,,,0,0,맛_모름,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,1,0
9,9,GNC우먼스울트라메가액티브비타민&미네랄,,,,,0,0,맛_모름,신맛,있음,목넘김_모름,피로회복,0,0,1,0,0
10,10,GNC츄어블멀티비타민,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
11,11,GNC비타민B,,,,,0,0,맛_모름,맛상세_없음,있음,목넘김_모름,피로회복,0,0,1,0,0
12,12,GNM올인원이뮨액상종합비타민/비오틴비타민D아연비타민C비타민B,,,,,0,0,맛있다,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,0,0
13,13,GNM종합비타민미네랄15/멀티비타민비오틴아연엽산비타민BCD,,,,,1,0,맛_모름,신맛 단맛,있음,좋음,피로회복,1,0,0,0,0
14,14,GNM자연의품격rTG알티지오메가3,,,,,0,0,맛_모름,단맛 신맛,재구매의사_모름,목넘김_모름,"피로회복
질건강
장건강",1,0,0,1,0
15,15,GNM자연의품격종합비타민미네랄15,,,,,1,0,맛_모름,신맛 단맛,있음,좋음,피로회복,1,0,0,0,0
16,16,GNM자연의품격총12개월분GNM메가비타민C3000/비타민씨분말가루,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
17,17,HeroNutritional야미베어어린이멀티비타민앤미네랄과일맛,,,,,1,0,맛있다,단맛 부정 신맛 우유맛,있음,목넘김_모름,"피로회복
장건강",0,1,1,0,0
18,18,KS365비타민C&D아연,,,,,0,0,맛있다,단맛 신맛,있음,불편,피로회복,0,0,1,0,0
19,19,RU21비타민C4.,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
20,20,RainbowLight맨스원멀티비타민,,,,,0,0,맛있다,단맛 신맛,있음,목넘김_모름,피로회복,0,0,1,0,0
21,21,ThorneResearchbasicnutrients2-day비타민,,,,,1,0,맛_모름,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,1,0
22,22,Vitacraves원어데이포힘틴멀티,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
23,23,경남레모나산,,,,,0,0,맛있다,신맛 과일맛,있음,목넘김_모름,피로회복,0,0,1,0,0
24,24,경남제약레모나산손흥민에디션,,,,,0,0,맛있다,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,0,0
25,25,경남제약레모나산틴케이스,,,,,0,0,맛있다,신맛 단맛,재구매의사_모름,불편,피로회복,0,0,1,1,0
26,26,경남제약헬스케어케어플러스비타민C1000,,,,,1,0,맛_모름,신맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
27,27,고려은단멀티비타민올인원,,,,,1,1,맛_모름,신맛 부정 단맛,있음,좋음,"피로회복
피부",1,0,0,0,0
28,28,고려은단멀티비타민올인원이지,,,,,0,1,맛_모름,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,1,0
29,29,고려은단메가도스B,,,,,1,0,맛_모름,단맛 부정,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
30,30,고려은단메가도스B 비타민B군,,,,,0,0,맛_모름,신맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
31,31,고려은단메가도스C비타민C3000mg,,,,,0,0,맛_모름,신맛 단맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
32,32,고려은단메가도스D비타민D4000IU,,,,,0,0,맛_모름,단맛,있음,목넘김_모름,피로회복,0,0,0,1,0
33,33,고려은단비타민,,,,,0,0,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
34,34,고려은단비타민C1000,,,,,1,0,맛있다,신맛 과일맛 부정 단맛,있음,목넘김_모름,피로회복,0,0,1,0,0
35,35,고려은단비타민C1000이지+비타민D,,,,,1,0,맛_모름,신맛,있음,목넘김_모름,피로회복,0,0,1,0,0
36,36,고려은단비타민C골드플러스,,,,,1,0,맛_모름,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,1,0
37,37,골리애플사이다비니거,,,,,1,0,맛있다,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,0,0
38,38,광동비타500데일리스틱,,,,,0,0,맛있다,단맛 신맛,있음,목넘김_모름,피로회복,0,0,1,0,0
39,39,구디뮤이뮨다이렉트스틱,,,,,0,0,맛없다,단맛 과일맛 부정 신맛,재구매의사_모름,목넘김_모름,피로회복,0,0,1,1,0
40,40,구디카이비타민B12,,,,,0,0,맛있다,신맛 과일맛 단맛,있음,목넘김_모름,피로회복,0,0,1,0,0
41,41,국내산비타민,,,,,0,0,맛있다,신맛 단맛,있음,목넘김_모름,"피로회복
질건강
장건강",0,1,1,0,0
42,42,귀여운내친구곰탱이프로바이오비타민캔디,,,,,1,0,맛있다,단맛 과일맛 부정,있음,목넘김_모름,피로회복,0,0,1,0,0
43,43,그린몬스터맥스츄어블비타민D4000IU,,,,,1,0,맛있다,과일맛,있음,목넘김_모름,피로회복,0,0,1,0,0
44,44,나우푸드로우마카750mg베지캡슐,,,,,0,0,맛_모름,신맛 단맛,있음,목넘김_모름,피로회복,0,0,1,1,0
45,45,나우푸드비타민D-310000IU소프트젤,,,,,1,0,맛_모름,단맛,있음,목넘김_모름,피로회복,0,0,0,1,0
46,46,나우푸드항산화비타민C-1000,,,,,1,0,맛_모름,신맛,있음,목넘김_모름,피로회복,0,0,1,0,0
47,47,네이처메이드비타민B에너지,,,,,0,0,맛_모름,단맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
48,48,네이처메이드슈퍼B에너지,,,,,0,0,맛_모름,단맛 신맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
49,49,네이처메이드액티브데일리멀티3종택1,,,,,0,0,맛_모름,신맛,재구매의사_모름,목넘김_모름,피로회복,0,0,0,1,0
50,50,네이처메이드액티브데일리멀티포맨,,,,,0,0,맛_모름,맛상세_없음,있음,목넘김_모름,피로회복,0,0,1,0,0
51,51,네이처메이드액티브데일리멀티포올,,,,,0,0,맛_모름,단맛 부정 신맛,있음,목넘김_모름,피로회복,0,0,1,1,0
