,ItemID,item,맛,맛_single,재구매의사,목넘김,기능_single,Cluster Labels,Segment
0,0,3초습관플러스타민종합영양제,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,3,Four
1,1,GNC데일리이뮨멀티비타민,맛_모름,맛상세_없음,재구매의사_모름,좋음,피로회복,3,Four
2,2,GNC메가맨50플러스1+1,맛_모름,단맛,재구매의사_모름,목넘김_모름,피로회복,3,Four
3,3,GNC메가맨스포츠멀티비타민&미네랄,맛_모름,맛상세_없음,있음,목넘김_모름,피로회복,1,Second
4,4,GNC메가맨원데일리멀티비타민앤미네랄38.,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,3,Four
5,5,GNC메가틴멀티비타민앤미네랄,맛_모름,단맛,있음,목넘김_모름,피로회복,3,Four
6,5,GNC메가틴멀티비타민앤미네랄,맛_모름,단맛,있음,목넘김_모름,장건강,2,Third
7,5,GNC메가틴멀티비타민앤미네랄,맛_모름,신맛,있음,목넘김_모름,피로회복,1,Second
8,5,GNC메가틴멀티비타민앤미네랄,맛_모름,신맛,있음,목넘김_모름,장건강,2,Third
9,6,GNC밀크씨슬,맛_모름,단맛,재구매의사_모름,불편,피로회복,3,Four
10,6,GNC밀크씨슬,맛_모름,신맛,재구매의사_모름,불편,피로회복,3,Four
11,7,GNC오늘부터+멀티비타민포맨,맛_모름,신맛,재구매의사_모름,목넘김_모름,피로회복,3,Four
12,8,GNC올리닉비타액션,맛_모름,신맛,있음,목넘김_모름,피로회복,1,Second
13,8,GNC올리닉비타액션,맛_모름,단맛,있음,목넘김_모름,피로회복,3,Four
14,9,GNC우먼스울트라메가액티브비타민&미네랄,맛_모름,신맛,있음,목넘김_모름,피로회복,1,Second
15,10,GNC츄어블멀티비타민,맛_모름,맛상세_없음,재구매의사_모름,목넘김_모름,피로회복,3,Four
16,11,GNC비타민B,맛_모름,맛상세_없음,있음,목넘김_모름,피로회복,1,Second
17,12,GNM올인원이뮨액상종합비타민/비오틴비타민D아연비타민C비타민B,맛있다,신맛,있음,목넘김_모름,피로회복,1,Second
18,12,GNM올인원이뮨액상종합비타민/비오틴비타민D아연비타민C비타민B,맛있다,단맛,있음,목넘김_모름,피로회복,1,Second
19,13,GNM종합비타민미네랄15/멀티비타민비오틴아연엽산비타민BCD,맛_모름,신맛,있음,좋음,피로회복,2,Third
20,13,GNM종합비타민미네랄15/멀티비타민비오틴아연엽산비타민BCD,맛_모름,단맛,있음,좋음,피로회복,2,Third
21,14,GNM자연의품격rTG알티지오메가3,맛_모름,단맛,재구매의사_모름,목넘김_모름,피로회복,3,Four
