,맛_맛있다,맛_맛없다,맛_단맛,맛_쓴맛,맛_신맛,맛_과일맛,맛_유제품맛,재구매의사_있음,재구매의사_없음,목넘김_좋음,목넘김_불편,기능_다이어트,기능_질건강,기능_장건강,기능_피로회복
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
2,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
3,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
5,0,0,1,0,1,0,0,1,0,0,0,0,0,1,1
6,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
7,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
8,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
9,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1
10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
12,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
13,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
14,0,0,1,0,1,0,0,0,0,0,0,0,1,1,1
15,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
17,1,0,1,0,1,0,0,1,0,0,0,0,0,1,1
18,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
20,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
21,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
23,1,0,0,0,1,1,0,1,0,0,0,0,0,0,1
24,1,0,1,0,1,0,0,1,0,0,0,0,0,0,1
25,1,0,1,0,1,0,0,0,0,0,0,0,0,0,1
26,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
27,0,0,1,0,1,0,0,1,0,1,0,0,0,0,1
28,0,0,1,0,1,0,0,1,0,0,0,0,0,0,1
29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
30,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
31,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1
32,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1
33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,1,0,1,0,1,1,0,1,0,0,0,0,0,0,1
